2021.06.27, 23, 27, 25, 11, 18, 22
2021.06.24, 38, 44, 28, 23, 5, 18
2021.06.20, 39, 45, 30, 34, 38, 4
2021.06.17, 11, 26, 16, 27, 24, 44
2021.06.13, 37, 25, 5, 38, 30, 10
2021.06.10, 15, 20, 13, 49, 35, 46
2021.06.06, 21, 36, 2, 28, 6, 34
2021.06.03, 17, 38, 6, 33, 28, 49
2021.05.27, 30, 40, 41, 14, 23, 43
2021.05.23, 35, 17, 39, 7, 24, 21
2021.05.20, 46, 27, 7, 19, 6, 38
2021.05.16, 3, 36, 9, 41, 11, 24
2021.05.13, 12, 40, 7, 10, 6, 41
2021.05.09, 40, 31, 24, 14, 3, 47
2021.05.06, 35, 7, 22, 20, 37, 32
2021.05.01, 20, 46, 40, 16, 5, 43
2021.04.25, 27, 42, 48, 44, 46, 2
2021.04.22, 26, 46, 20, 39, 8, 5
2021.04.18, 12, 22, 36, 6, 23, 37
2021.04.15, 15, 48, 29, 47, 18, 42
2021.04.11, 12, 17, 44, 4, 11, 27
2021.04.08, 26, 9, 6, 13, 32, 31
2021.04.04, 4, 2, 3, 10, 41, 26
2021.04.01, 15, 25, 16, 21, 12, 5
2021.03.28, 47, 13, 7, 30, 42, 19
2021.03.25, 29, 3, 34, 39, 26, 36
2021.03.21, 27, 17, 10, 4, 19, 43
2021.03.18, 3, 38, 31, 39, 5, 29
2021.03.14, 26, 40, 35, 39, 37, 5
2021.03.11, 12, 19, 9, 1, 40, 5
2021.03.07, 1, 17, 27, 19, 44, 9
2021.03.07, 27, 3, 10, 29, 5, 9
2021.03.04, 7, 21, 36, 19, 1, 16
2021.02.28, 40, 45, 6, 39, 9, 14
2021.02.25, 10, 27, 34, 12, 9, 31
2021.02.21, 30, 24, 3, 12, 10, 42
2021.02.18, 16, 38, 30, 42, 8, 1
2021.02.14, 15, 33, 32, 47, 17, 11
2021.02.11, 45, 35, 25, 6, 16, 8
2021.02.07, 41, 49, 5, 20, 14, 1
2021.02.04, 36, 8, 20, 34, 32, 30
2021.01.31, 40, 11, 18, 33, 20, 14
2021.01.28, 22, 24, 11, 19, 35, 30
2021.01.24, 12, 27, 15, 9, 33, 44
2021.01.21, 26, 1, 28, 12, 49, 24
2021.01.17, 5, 36, 3, 35, 32, 2
2021.01.14, 39, 21, 49, 26, 11, 27
2021.01.10, 39, 26, 42, 38, 10, 28
2021.01.07, 31, 49, 45, 37, 17, 16
2021.01.03, 7, 1, 15, 36, 34, 30
